NBA_ID,Season,Player,Close Shot Rating,Mid-Range Shot Rating,3-Point Shot Rating,Free Throw Rating,Shot IQ Rating,AvailableRatings,MissingRatings
708,2013-14,Kevin Garnett,56.13637267746515,65.0460239113931,25.0,79.59375518611118,65.0,5,
708,2014-15,Kevin Garnett,56.13637267746515,65.0460239113931,25.0,79.36278264348685,65.0,5,
708,2015-16,Kevin Garnett,71.93466007222762,77.70308291984766,25.0,70.29752992627132,75.17986768815733,5,
951,2013-14,Ray Allen,93.15577235018706,86.01005158381497,84.5947968648664,83.24869087395783,65.0,5,
959,2013-14,Steve Nash,62.86246460302401,65.0460239113931,75.80098479049677,83.55646172716438,65.0,5,
965,2013-14,Derek Fisher,78.37711797231596,81.14055855183015,81.88641332659297,78.54093681757219,65.0,5,
977,2013-14,Kobe Bryant,30.452334171536137,37.985639305980484,57.96904748092601,77.7680185270675,65.0,5,
977,2014-15,Kobe Bryant,88.14129381236046,82.7668138869562,82.89301000161362,82.33727943738653,65.0,5,
977,2015-16,Kobe Bryant,86.03324591455318,88.58214078082712,75.67888638740554,85.73548025509353,74.19827830135421,5,
979,2013-14,Jermaine ONeal,65.70090355291467,65.0460239113931,25.0,78.53024042546942,65.0,5,
1495,2013-14,Tim Duncan,67.40793421163951,65.0460239113931,25.0,78.32361812955028,65.0,5,
1495,2014-15,Tim Duncan,70.88997419145738,70.76928858994617,32.755572615193486,78.55459067217461,65.0,5,
1495,2015-16,Tim Duncan,89.18162253187992,74.88027093632837,25.0,71.69919169318446,78.58817703343901,5,
1497,2013-14,Chauncey Billups,80.46253123433647,76.66141270298179,76.4546462058363,80.28281998135262,65.0,5,
1536,2013-14,Stephen Jackson,30.452334171536137,37.985639305980484,51.441830980326124,58.685632405407844,65.0,5,
1712,2013-14,Antawn Jamison,44.47324751634798,37.985639305980484,57.2784898685609,75.89515688920699,65.0,5,
1713,2013-14,Vince Carter,82.71212714903865,81.19445005416377,86.21347360773686,80.68585179863169,65.0,5,
1713,2014-15,Vince Carter,77.95608141680519,75.65184126373931,79.08817252816607,78.97445026344118,65.0,5,
1713,2015-16,Vince Carter,72.49085052930113,75.84983559271795,78.6189705836559,84.89436430966434,76.76364872466199,5,
1713,2016-17,Vince Carter,67.08841601357992,75.66804772951981,83.78090403827629,78.63380066854063,79.97619629104348,5,
1713,2017-18,Vince Carter,72.61242769305463,80.37261291001965,78.7518274850927,77.70674270296274,79.12861385536237,5,
1713,2018-19,Vince Carter,77.15486676667706,73.41299028663775,85.51345924511435,73.09300877003467,91.0867738827281,5,
