NBA_ID,Season,Player,Interior Defense Rating,Perimeter Defense Rating,Steal Rating,Block Rating,Help Defense IQ Rating,Pass Perception Rating
708,2013-14,Kevin Garnett,96.12205802493084,44.18244419661655,70.87510496428622,78.36140713505782,97.35304773733827,52.0
708,2014-15,Kevin Garnett,95.40600921046631,47.246502998114174,77.26948725903799,61.83465650105062,96.86429699227604,52.0
708,2015-16,Kevin Garnett,73.62236779999783,70.9128917268245,78.23079094469489,51.88464462230383,78.72124295383527,86.79762707141867
951,2013-14,Ray Allen,57.26468722910271,68.99505797620893,62.3590926049534,40.05404209547717,67.82993037130007,52.0
959,2013-14,Steve Nash,33.58892000252422,60.33409750980581,56.29558976722279,40.50319429410174,52.52270304545258,52.0
965,2013-14,Derek Fisher,77.63143456820625,66.13148338303988,77.15173739212653,35.9965365103391,84.95249285018375,52.0
977,2013-14,Kobe Bryant,39.881663644560824,76.49694553493529,66.73417970353778,29.43226471351062,58.736441421690856,52.0
977,2014-15,Kobe Bryant,44.91910426996832,81.46839873860348,82.06958161388508,44.63445144993809,61.23757253296139,52.0
977,2015-16,Kobe Bryant,41.17275053666781,78.85635579759739,67.39214234862517,46.01090786450596,65.00773804201881,66.13430277184385
979,2013-14,Jermaine ONeal,79.32516979277767,50.76861058771209,46.925484184986345,83.45269387138444,86.97971261814662,52.0
1495,2013-14,Tim Duncan,97.55437930475966,43.872487666843966,57.451998581202055,94.35966614801717,98.33070188401587,52.0
1495,2014-15,Tim Duncan,98.45230712674942,47.78836570420616,64.35378686022493,92.82476705024362,98.94359709890115,52.0
1495,2015-16,Tim Duncan,95.01059970278776,57.12562700073807,64.0858543436701,89.803976364737,95.28803665412845,56.04108210261059
1497,2013-14,Chauncey Billups,54.32194569722684,60.988654301039475,53.32197295249949,38.988522739703335,66.17443080853523,52.0
1536,2013-14,Stephen Jackson,61.00443839729836,31.113810600771348,63.62775049809312,29.700500948268783,69.9297751711388,52.0
1712,2013-14,Antawn Jamison,50.130202141358616,30.026910938412,41.74348933514569,30.309083113898705,63.52605034972121,52.0
1713,2013-14,Vince Carter,71.6386451919702,75.56790120174742,64.69106140268468,60.16809506882795,77.49523782020921,52.0
1713,2014-15,Vince Carter,79.27159736450476,64.13800703744789,67.52249765936286,52.62962224721139,86.93565052506449,52.0
1713,2015-16,Vince Carter,49.35555675007057,59.52819845944923,67.20605265363834,55.06914605204885,78.62666555788552,72.88874958276558
1713,2016-17,Vince Carter,54.18805572496848,67.99534275724604,67.21442610510466,62.86155041573824,79.26122935783258,81.22450376660396
1713,2017-18,Vince Carter,66.27172506427326,60.15915909761056,72.05625204924938,66.80139058101639,77.7613989923131,80.5147136886078
1713,2018-19,Vince Carter,60.524400343247045,58.18578646852554,61.66914718019536,54.80331861940178,74.33806597927125,73.20327954972842
1713,2019-20,Vince Carter,69.11781467844266,60.551547935075426,55.442428676039086,64.7722613361747,70.95722085406169,70.68841147524613
1717,2013-14,Dirk Nowitzki,82.03104165673163,72.41919324957357,65.47813899647032,66.40583452065547,89.53668806635326,52.0
1717,2014-15,Dirk Nowitzki,75.54184690252258,66.72952628671746,51.74816552643057,59.44350314177461,82.14800444909609,52.0
1717,2015-16,Dirk Nowitzki,77.92695364444494,49.77262977195679,55.871915354729275,63.66294616225026,87.5187081695698,45.750733163508016
1717,2016-17,Dirk Nowitzki,75.16685189380296,53.27658458687159,54.49909545647141,70.09257852708792,84.03806229876912,64.99438044150752
1717,2017-18,Dirk Nowitzki,70.92959642734628,44.4624950408833,54.97080030629099,68.24899133406066,81.13669115915201,61.00638868613792
1717,2018-19,Dirk Nowitzki,70.62816595060522,43.830162170422355,42.39803820548384,60.93220925323495,78.62065744853768,46.75617411930123
1718,2013-14,Paul Pierce,88.49062819270334,68.58128313483878,74.88947068606332,59.44350314177461,95.0730280911734,52.0
1718,2014-15,Paul Pierce,84.79448560514021,78.45009110207462,57.74932168381156,53.28436041052643,92.43463337894687,52.0
1718,2015-16,Paul Pierce,67.72324521789517,62.48441537533231,58.30518218406905,49.39452451750281,71.21770989094294,47.03505448457745
1718,2016-17,Paul Pierce,30.867414471778833,38.067949678267716,37.87567565239558,41.82246633149414,59.73775783834043,36.1024180414876
1733,2013-14,Al Harrington,60.67587462119343,52.12326735294206,57.8150888767291,35.50871810830061,69.74301504359757,52.0
1737,2013-14,Nazr Mohammed,80.31872209771235,25.54344983117967,40.25233417942384,69.93980284719257,87.79688659276971,52.0
1737,2014-15,Nazr Mohammed,67.36319648923218,25.815174746769515,43.39635935231818,46.38423661548726,73.0582783299354,52.0
1737,2015-16,Nazr Mohammed,47.597978315825436,36.91895396942003,36.11668272665962,29.084700361042664,57.55239349263042,72.04496998160751
1740,2013-14,Rashard Lewis,75.38118825706914,64.1380070374479,76.69351384446159,42.55646148781404,81.92741562074404,52.0
1882,2013-14,Elton Brand,88.96416894782733,42.63266154775361,59.63169763377826,93.18126250703749,95.14721559374405,52.0
1882,2014-15,Elton Brand,84.3131033696805,39.843052779800324,58.87238998983852,80.65073991703844,91.92982147797828,52.0
1882,2015-16,Elton Brand,64.62799604556277,42.601163281086095,57.92297233227739,59.79785834131182,70.75743023923293,57.959095368856275
1889,2013-14,Andre Miller,74.60974648538235,63.9386594028887,65.2080083783639,47.045000550926495,81.04605745253156,52.0
1889,2014-15,Andre Miller,70.29181072730863,68.58128313483878,61.09353769171532,40.50319429410174,75.61398986941407,52.0
1889,2015-16,Andre Miller,29.61990313491651,71.15103131141373,59.719004391743816,25.22159509091995,53.60551283760467,56.3054719834706
1890,2013-14,Shawn Marion,74.78379552384423,77.58351280581896,77.22264764339342,60.80786743464248,81.20571105046808,52.0
1890,2014-15,Shawn Marion,74.42086304099453,67.96062087278358,58.079528382879836,69.02305109991362,80.87279638913442,52.0
1891,2013-14,Jason Terry,54.27643635758578,56.33530084569545,50.845109143445264,35.50871810830061,66.14732873700223,52.0
1891,2014-15,Jason Terry,74.20028676888029,70.23638250031934,69.96428401707198,48.907697583508444,80.67046378348677,52.0
1891,2015-16,Jason Terry,34.25409556437308,73.20606146723091,66.58748832241517,43.578015514144205,65.36681874360687,76.11286883439872
1891,2016-17,Jason Terry,34.90734498552886,70.10275402015772,64.64819353507521,51.406091609513275,69.58850791812363,75.48313041512773
